இருவரும் ஒப்புக் கொண்டுள்ளார்	இருவரும் ஒப்புக் கொண்டுள்ளனர்	agreement
இருவரும் சாட்சியம் அளித்துள்ளார்	இருவரும் சாட்சியம் அளித்துள்ளனர்	agreement
இருவரும் தெரிவித்துள்ளார்	இருவரும் தெரிவித்துள்ளனர்	agreement
இருவரும் கூறியுள்ளார்	இருவரும் கூறியுள்ளனர்	agreement
இருவரும் சென்றுள்ளார்	இருவரும் சென்றுள்ளனர்	agreement
சாட்சிகள் அளித்துள்ளார்	சாட்சிகள் அளித்துள்ளனர்	agreement
சாட்சிகள் தெரிவித்துள்ளார்	சாட்சிகள் தெரிவித்துள்ளனர்	agreement
சாட்சிகள் கூறியுள்ளார்	சாட்சிகள் கூறியுள்ளனர்	agreement
நபர்கள் தெரிவித்துள்ளார்	நபர்கள் தெரிவித்துள்ளனர்	agreement
ஆகியோர் தெரிவித்துள்ளார்	ஆகியோர் தெரிவித்துள்ளனர்	agreement
ஆகியோர் அளித்துள்ளார்	ஆகியோர் அளித்துள்ளனர்	agreement
நபருக்கு நபர்களுக்கும்	நபர்களுக்கும்	morphology
நபருக்கு நபர்களுக்கு	நபர்களுக்கு	morphology
