எதிரி	குற்றஞ்சாட்டப்பட்ட நபர்	register
எதிரிகள்	குற்றஞ்சாட்டப்பட்ட நபர்கள்	register
எதிரியின்	குற்றஞ்சாட்டப்பட்ட நபரின்	register
எதிரியை	குற்றஞ்சாட்டப்பட்ட நபரை	register
எதிரிக்கு	குற்றஞ்சாட்டப்பட்ட நபருக்கு	register
எதிரியிடம்	குற்றஞ்சாட்டப்பட்ட நபரிடம்	register
எதிரிகளின்	குற்றஞ்சாட்டப்பட்ட நபர்களின்	register
எதிரிகளை	குற்றஞ்சாட்டப்பட்ட நபர்களை	register
எதிரிகளுக்கு	குற்றஞ்சாட்டப்பட்ட நபர்களுக்கு	register
முதல் எதிரி	முதல் குற்றஞ்சாட்டப்பட்ட நபர்	register
இரண்டாவது எதிரி	இரண்டாவது குற்றஞ்சாட்டப்பட்ட நபர்	register
ரத்தக்கரை	இரத்தக்கறை	spelling
ரத்தக்கறை	இரத்தக்கறை	spelling
ரத்தக்காயம்	இரத்தக்காயம்	spelling
ரத்தக்காயங்கள்	இரத்தக்காயங்கள்	spelling
ரத்தக்காயங்களுடன்	இரத்தக்காயங்களுடன்	spelling
ரத்தம்	இரத்தம்	spelling
ரத்தப்பரிசோதனை	இரத்தப் பரிசோதனை	morphology
மனியளவில்	மணியளவில்	spelling
மனியளவு	மணியளவு	spelling
கூரப்படுகிறது	கூறப்படுகிறது	spelling
கூரப்பட்டுள்ளது	கூறப்பட்டுள்ளது	spelling
அரிவாலுடன்	அரிவாளுடன்	spelling
அரிவால்	அரிவாள்	spelling
கனவரை	கணவரை	spelling
கனவர்	கணவர்	spelling
கனவரின்	கணவரின்	spelling
பலனின்ரி	பலனின்றி	spelling
மரனத்திற்கான	மரணத்திற்கான	spelling
மரனம்	மரணம்	spelling
மரனத்தை	மரணத்தை	spelling
கானமாக	காரணமாக	spelling
குற்ரச்செயல்	குற்றச்செயல்	spelling
குற்ரம்	குற்றம்	spelling
குருக்குவிசாரணையில்	குறுக்கு விசாரணையில்	morphology
குருக்குவிசாரணை	குறுக்கு விசாரணை	morphology
உறுதிபடுத்தினர்	உறுதிப்படுத்தினர்	spelling
உறுதிபடுத்தப்பட்டது	உறுதிப்படுத்தப்பட்டது	spelling
சூல்நிலை	சூழ்நிலை	spelling
சூல்நிலைசாட்சியங்கள்	சூழ்நிலைச் சாட்சியங்கள்	morphology
சூல்நிலைசாட்சி	சூழ்நிலைச் சாட்சி	morphology
பெரப்பட்டதாக	பெறப்பட்டதாக	spelling
சந்தேகத்திற்கிடமின்ரி	சந்தேகத்திற்கிடமின்றி	spelling
கொலைகுற்றம்	கொலைக் குற்றம்	morphology
கொலைஆயுதம்	கொலை ஆயுதம்	morphology
நேரடிசாட்சி	நேரடிச் சாட்சி	morphology
சங்கிலிதொடர்பாக	சங்கிலித் தொடராக	morphology
குற்றஒப்புதல்	குற்ற ஒப்புதல்	morphology
ஆயுள்தண்டனை	ஆயுள் தண்டனை	morphology
பிரேதபரிசோதனை	பிரேதப் பரிசோதனை	morphology
கைபற்றப்பட்டன	கைப்பற்றப்பட்டன	spelling
கைபற்றப்பட்டது	கைப்பற்றப்பட்டது	spelling
விதிக்கபடுகிறது	விதிக்கப்படுகிறது	morphology
உத்தரவிடபடுகிறது	உத்தரவிடப்படுகிறது	morphology
அனுப்பபட்டது	அனுப்பப்பட்டது	morphology
தெரிவிக்கபடுகிறது	தெரிவிக்கப்படுகிறது	morphology
