வலக்கு	வழக்கு	spelling
வலக்கை	வழக்கை	spelling
வலக்கின்	வழக்கின்	spelling
வலக்கில்	வழக்கில்	spelling
வலக்குடன்	வழக்குடன்	spelling
வலக்குகள்	வழக்குகள்	spelling
இவ்வலக்கில்	இவ்வழக்கில்	spelling
இவ்வலக்கு	இவ்வழக்கு	spelling
அவ்வலக்கில்	அவ்வழக்கில்	spelling
வலக்கறிஞர்	வழக்கறிஞர்	spelling
வலக்கறிஞரின்	வழக்கறிஞரின்	spelling
வலக்குரைஞர்	வழக்குரைஞர்	spelling
வலக்காடு	வழக்காடு	spelling
வலி மறித்து	வழிமறித்து	morphology
வலிமறித்து	வழிமறித்து	spelling
வலிமுறை	வழிமுறை	spelling
வலியில்	வழியில்	spelling
வலங்கப்பட்டது	வழங்கப்பட்டது	spelling
வலங்கப்பட்ட	வழங்கப்பட்ட	spelling
வலங்கினார்	வழங்கினார்	spelling
அலிக்கப்பட	அழிக்கப்பட	spelling
அலிக்கப்பட்டது	அழிக்கப்பட்டது	spelling
அலைக்கப்பட்டார்	அழைக்கப்பட்டார்	spelling
இலப்பீட்டு	இழப்பீட்டு	spelling
கீல்	கீழ்	spelling
பலைய	பழைய	spelling
முலுவதும்	முழுவதும்	spelling
கூரியுள்ளார்	கூறியுள்ளார்	spelling
கூரியதாவது	கூறியதாவது	spelling
கூரினார்	கூறினார்	spelling
கூரப்பட்டது	கூறப்பட்டது	spelling
குரியீடு	குறியீடு	spelling
குரிப்பிட்டுள்ளார்	குறிப்பிட்டுள்ளார்	spelling
குரிப்பிடப்பட்ட	குறிப்பிடப்பட்ட	spelling
கற்ரறிந்த	கற்றறிந்த	spelling
பெரப்பட்டது	பெறப்பட்டது	spelling
நிரைவேற்ற	நிறைவேற்ற	spelling
மாரியது	மாறியது	spelling
வேருபாட்டை	வேறுபாட்டை	spelling
மனிக்கு	மணிக்கு	spelling
மனி	மணி	spelling
காரனமாக	காரணமாக	spelling
காரனத்தினால்	காரணத்தினால்	spelling
ஆவனபட்டியல்	ஆவணப் பட்டியல்	morphology
ஆவனங்களை	ஆவணங்களை	spelling
ஆவனம்	ஆவணம்	spelling
பரிசீளனையின்	பரிசீலனையின்	spelling
தண்டனை சடம்	தண்டனைச் சட்டம்	morphology
இனைக்கப்பட்டன	இணைக்கப்பட்டன	spelling
இனைப்பு	இணைப்பு	spelling
இனைந்த	இணைந்த	spelling
அனுமதிக்கபடவில்லை	அனுமதிக்கப்படவில்லை	morphology
தயாரிக்கபட்டது	தயாரிக்கப்பட்டது	morphology
தயாரிக்கபட்ட	தயாரிக்கப்பட்ட	morphology
விதிக்கபடவில்லை	விதிக்கப்படவில்லை	morphology
விதிக்கபட்டுள்ளது	விதிக்கப்பட்டுள்ளது	morphology
சமர்பிக்கப்படவில்லை	சமர்ப்பிக்கப்படவில்லை	spelling
சமர்பித்தார்	சமர்ப்பித்தார்	spelling
சமர்பிக்க	சமர்ப்பிக்க	spelling
விசாரிக்கபடவில்லை	விசாரிக்கப்படவில்லை	morphology
பதிவுசெய்யப்பட்டு	பதிவு செய்யப்பட்டு	morphology
தாக்கல்செய்யப்பட்டுள்ளது	தாக்கல் செய்யப்பட்டுள்ளது	morphology
தாக்கல்செய்யப்பட்டது	தாக்கல் செய்யப்பட்டது	morphology
விடுதலைசெய்யபடுகிறார்கள்	விடுதலை செய்யப்படுகிறார்கள்	morphology
விடுதலைசெய்யப்பட்டார்	விடுதலை செய்யப்பட்டார்	morphology
ரத்துசெய்யபடுகிறது	இரத்து செய்யப்படுகிறது	morphology
ரத்துசெய்யப்பட்டது	இரத்து செய்யப்பட்டது	morphology
ராணுவம்	இராணுவம்	spelling
ராணுவத்தின்	இராணுவத்தின்	spelling
ராணுவத்தை	இராணுவத்தை	spelling
இனைக்கப்படவில்லை	இணைக்கப்படவில்லை	spelling
இனைக்கப்பட்டுள்ளது	இணைக்கப்பட்டுள்ளது	spelling
இனைக்கப்படும்	இணைக்கப்படும்	spelling
