இனைக்கப்பட்டுள்ளன	இணைக்கப்பட்டுள்ளன	spelling
இனைக்கப்பட்டுள்ளது	இணைக்கப்பட்டுள்ளது	spelling
இனைக்கவில்லை	இணைக்கவில்லை	spelling
இனைக்கப்பட	இணைக்கப்பட	spelling
இனைக்கப்பட்ட	இணைக்கப்பட்ட	spelling
இனைக்குமாறு	இணைக்குமாறு	spelling
இனைத்து	இணைத்து	spelling
இனைத்தார்	இணைத்தார்	spelling
இனையாக	இணையாக	spelling
ஆவனத்தையும்	ஆவணத்தையும்	spelling
ஆவனங்களையும்	ஆவணங்களையும்	spelling
ஆவனமும்	ஆவணமும்	spelling
ஆவனத்துடன்	ஆவணத்துடன்	spelling
ஆவனமாக	ஆவணமாக	spelling
சமர்பித்த	சமர்ப்பித்த	spelling
சமர்பித்துள்ளார்	சமர்ப்பித்துள்ளார்	spelling
சமர்பிக்காமல்	சமர்ப்பிக்காமல்	spelling
சமர்பிக்கும்	சமர்ப்பிக்கும்	spelling
சமர்பிப்பதற்கு	சமர்ப்பிப்பதற்கு	spelling
தவரான	தவறான	spelling
தவராக	தவறாக	spelling
தவரு	தவறு	spelling
தவருதல்	தவறுதல்	spelling
தவரிழைத்த	தவறிழைத்த	spelling
சடவிரோதமானது	சட்டவிரோதமானது	spelling
சடவிரோதமான	சட்டவிரோதமான	spelling
சடப்பூர்வமான	சட்டப்பூர்வமான	spelling
சடரீதியாக	சட்டரீதியாக	spelling
சடத்தின்	சட்டத்தின்	spelling
சடப்படி	சட்டப்படி	spelling
வாங்கபட்டது	வாங்கப்பட்டது	morphology
வாங்கபட்ட	வாங்கப்பட்ட	morphology
மாற்றபட்டது	மாற்றப்பட்டது	morphology
மாற்றபட்ட	மாற்றப்பட்ட	morphology
மாற்றபடுகிறது	மாற்றப்படுகிறது	morphology
விற்கபட்டது	விற்கப்பட்டது	morphology
கொடுக்கபட்டது	கொடுக்கப்பட்டது	morphology
எடுக்கபட்டது	எடுக்கப்பட்டது	morphology
சேர்க்கபட்டது	சேர்க்கப்பட்டது	morphology
நீக்கபட்டது	நீக்கப்பட்டது	morphology
அளிக்கபட்டது	அளிக்கப்பட்டது	morphology
பெறபட்டது	பெறப்பட்டது	morphology
கோரபட்டது	கோரப்பட்டது	morphology
ஏற்கபட்டது	ஏற்கப்பட்டது	morphology
நிராகரிக்கபட்டது	நிராகரிக்கப்பட்டது	morphology
தீர்பளிக்கப்படுகிறது	தீர்ப்பளிக்கப்படுகிறது	spelling
தீர்பளிக்கப்பட்டுள்ளது	தீர்ப்பளிக்கப்பட்டுள்ளது	spelling
தீர்பின்	தீர்ப்பின்	spelling
தீர்பை	தீர்ப்பை	spelling
தீர்பு	தீர்ப்பு	spelling
வேனும்	வேண்டும்	spelling
வேன்டும்	வேண்டும்	spelling
வேனுமென	வேண்டுமென	spelling
தாக்கல்செய்யப்படவில்லை	தாக்கல் செய்யப்படவில்லை	morphology
தாக்கல்செய்ய	தாக்கல் செய்ய	morphology
தாக்கல்செய்தார்	தாக்கல் செய்தார்	morphology
பதிவுசெய்யப்படவில்லை	பதிவு செய்யப்படவில்லை	morphology
பதிவுசெய்ய	பதிவு செய்ய	morphology
விசாரணைசெய்யப்பட்டது	விசாரணை செய்யப்பட்டது	morphology
ரசீது	இரசீது	spelling
ரசீதுகள்	இரசீதுகள்	spelling
ரசீதை	இரசீதை	spelling
சார்பு நீதிமன்ரம்	சார்பு நீதிமன்றம்	spelling
சார்புநீதிமன்றம்	சார்பு நீதிமன்றம்	morphology
மாவட்டநீதிமன்றம்	மாவட்ட நீதிமன்றம்	morphology
உயர்நீதிமன்றம்	உயர் நீதிமன்றம்	morphology
நடுவர்நீதிமன்றம்	நடுவர் நீதிமன்றம்	morphology
