அரிவிப்பு	அறிவிப்பு	spelling
தமில்	தமிழ்	spelling
எலுத்து	எழுத்து	spelling
விலக்கம்	விளக்கம்	spelling
வளக்கு	வழக்கு	spelling
வால்த்து	வாழ்த்து	spelling
பலமை	பழமை	spelling
ஒலுங்கு	ஒழுங்கு	spelling
முலுமையாக	முழுமையாக	spelling
தொலில்	தொழில்	spelling
வளக்கறிஞர்	வழக்கறிஞர்	spelling
நிதிமன்றம்	நீதிமன்றம்	spelling
நீதி மன்றம்	நீதிமன்றம்	morphology
குற்றசாட்டு	குற்றச்சாட்டு	morphology
சாச்சியம்	சாட்சியம்	spelling
விசாரனை	விசாரணை	spelling
தீர்பளிப்பு	தீர்ப்பளிப்பு	spelling
உத்ரவு	உத்தரவு	spelling
மனுதாரி	மனுதாரர்	morphology
எதிர்மனுதாரி	எதிர்மனுதாரர்	morphology
குற்றம் சாட்டப்பட்டவர்	குற்றஞ்சாட்டப்பட்டவர்	morphology
குற்ற செயல்	குற்றச்செயல்	morphology
முதன்மைசாட்சி	முதன்மைச் சாட்சி	morphology
முதன்மை சாட்சி	முதன்மைச் சாட்சி	morphology
ஆவணசாட்சி	ஆவணச் சாட்சி	morphology
ஆவண சாட்சி	ஆவணச் சாட்சி	morphology
வாய்மொழிசாட்சி	வாய்மொழிச் சாட்சி	morphology
வாய்மொழி சாட்சி	வாய்மொழிச் சாட்சி	morphology
காவல் துறை	காவல்துறை	morphology
நீதி பதி	நீதிபதி	morphology
சட்டபூர்வமான	சட்டப்பூர்வமான	spelling
சட்ட பூர்வமான	சட்டப்பூர்வமான	morphology
உரிமை கோரல்	உரிமைகோரல்	morphology
