கழுத்து பகுதியில்	கழுத்துப்பகுதியில்	morphology
கழுத்துப் பகுதியில்	கழுத்துப்பகுதியில்	morphology
முதுகு பகுதியில்	முதுகுப்பகுதியில்	morphology
நெஞ்சு பகுதியில்	நெஞ்சுப்பகுதியில்	morphology
நெஞ்சுப் பகுதியில்	நெஞ்சுப்பகுதியில்	morphology
தலை பகுதியில்	தலைப்பகுதியில்	morphology
வயிறு பகுதியில்	வயிற்றுப்பகுதியில்	morphology
கால் பகுதியில்	கால்பகுதியில்	morphology
கை பகுதியில்	கைப்பகுதியில்	morphology
முகம் பகுதியில்	முகப்பகுதியில்	morphology
ஒப்புக் கொண்டார்	ஒப்புக்கொண்டார்	morphology
ஒப்புக் கொள்ள	ஒப்புக்கொள்ள	morphology
ஒப்புக் கொள்ளவில்லை	ஒப்புக்கொள்ளவில்லை	morphology
ஒப்புக் கொண்டதாக	ஒப்புக்கொண்டதாக	morphology
எடுத்துக் காட்டி	எடுத்துக்காட்டி	morphology
எடுத்துக் காட்டுகிறது	எடுத்துக்காட்டுகிறது	morphology
எடுத்துக் கொண்டு	எடுத்துக்கொண்டு	morphology
எடுத்துக் கொள்ள	எடுத்துக்கொள்ள	morphology
எடுத்துக் கொள்ளப்பட்டது	எடுத்துக்கொள்ளப்பட்டது	morphology
சாத்தியக் கூறு	சாத்தியக்கூறு	morphology
சாத்தியக் கூறுகள்	சாத்தியக்கூறுகள்	morphology
சாத்தியக் கூற	சாத்தியக்கூற	morphology
வெளிப்புற காயங்களும்	வெளிப்புறக் காயங்களும்	morphology
உட்புற காயம்	உட்புறக் காயம்	morphology
உட்புற காயங்கள்	உட்புறக் காயங்கள்	morphology
உள்புற காயம்	உள்புறக் காயம்	morphology
சம்பவ இடம்	சம்பவயிடம்	morphology
சம்பவ இடத்தை	சம்பவயிடத்தை	morphology
சம்பவ இடத்தின்	சம்பவயிடத்தின்	morphology
சம்பவ இடத்துக்கு	சம்பவயிடத்துக்கு	morphology
விறகு கட்டைகள்	விறகுக்கட்டைகள்	morphology
விறகு கட்டையின்	விறகுக்கட்டையின்	morphology
மர கட்டை	மரக்கட்டை	morphology
மர கட்டையால்	மரக்கட்டையால்	morphology
இரும்பு கம்பி	இரும்புக்கம்பி	morphology
இரும்பு கம்பியால்	இரும்புக்கம்பியால்	morphology
நடைபெற்று இருந்தால்	நடைபெற்றிருந்தால்	morphology
நடைபெற்று இருக்கிறது	நடைபெற்றிருக்கிறது	morphology
செய்து இருக்க	செய்திருக்க	morphology
செய்து இருந்தால்	செய்திருந்தால்	morphology
கொடுத்து இருந்தால்	கொடுத்திருந்தால்	morphology
சொல்லி இருந்தால்	சொல்லியிருந்தால்	morphology
தெரிவித்து இருந்தால்	தெரிவித்திருந்தால்	morphology
வந்து இருந்தால்	வந்திருந்தால்	morphology
பார்த்து இருந்தால்	பார்த்திருந்தால்	morphology
அளித்து இருந்தால்	அளித்திருந்தால்	morphology
வழி இருப்பதாக	வலி இருப்பதாக	contextual
வழியும் இல்லை	வலியும் இல்லை	contextual
காயமோ வலியோ	காயமோ, வலியோ	punctuation
