இருவரின் சாட்சியங்களும் போதிய	இருவரின் சாட்சியங்களையும் போதிய	morphology
சாட்சியங்களும் போதிய நம்பத்	சாட்சியங்களையும் போதிய நம்பத்	morphology
நம்பத் தகுந்த	நம்பத்தகுந்த	morphology
நம்பத் தக்க	நம்பத்தக்க	morphology
குறிப்பிடத் தகுந்த	குறிப்பிடத்தகுந்த	morphology
ஏற்கத் தகுந்த	ஏற்கத்தகுந்த	morphology
இதுவரை தவிர	இவர்களைத் தவிர	contextual
இவர்களை தவிர	இவர்களைத் தவிர	morphology
இவரை தவிர	இவரைத் தவிர	morphology
இருவரை தவிர	இருவரைத் தவிர	morphology
குறிப்பிட்ட உள்ளவாறு	குறிப்பிட்டுள்ளவாறு	morphology
குறிப்பிட்ட உள்ளபடி	குறிப்பிட்டுள்ளபடி	morphology
நபர் எதிரான	நபருக்கு எதிரான	morphology
நபர் எதிராக	நபருக்கு எதிராக	morphology
எதிரி எதிரான	குற்றஞ்சாட்டப்பட்ட நபருக்கு எதிரான	register
எதிரி எதிராக	குற்றஞ்சாட்டப்பட்ட நபருக்கு எதிராக	register
