வேண்டி உள்ளது	வேண்டியுள்ளது	morphology
வேண்டி உள்ளன	வேண்டியுள்ளன	morphology
வேண்டி இருந்தது	வேண்டியிருந்தது	morphology
செய்து உள்ளது	செய்துள்ளது	morphology
செய்து உள்ளார்	செய்துள்ளார்	morphology
செய்து உள்ளனர்	செய்துள்ளனர்	morphology
கொடுத்து உள்ளார்	கொடுத்துள்ளார்	morphology
அளித்து உள்ளார்	அளித்துள்ளார்	morphology
தாக்கல் செய்து உள்ளார்	தாக்கல் செய்துள்ளார்	morphology
பதிவு செய்து உள்ளார்	பதிவு செய்துள்ளார்	morphology
வந்து உள்ளார்	வந்துள்ளார்	morphology
சென்று உள்ளார்	சென்றுள்ளார்	morphology
பெற்று உள்ளார்	பெற்றுள்ளார்	morphology
கூறி உள்ளார்	கூறியுள்ளார்	morphology
தெரிவித்து உள்ளார்	தெரிவித்துள்ளார்	morphology
சமர்ப்பித்து உள்ளார்	சமர்ப்பித்துள்ளார்	morphology
அனுப்பி உள்ளார்	அனுப்பியுள்ளார்	morphology
வைத்து உள்ளார்	வைத்துள்ளார்	morphology
எடுத்து உள்ளார்	எடுத்துள்ளார்	morphology
நடந்து உள்ளது	நடந்துள்ளது	morphology
ஏற்பட்டு உள்ளது	ஏற்பட்டுள்ளது	morphology
குறிப்பிட்டு உள்ளார்	குறிப்பிட்டுள்ளார்	morphology
