விசாரனை	விசாரணை	spelling
குற்றசாட்டு	குற்றச்சாட்டு	spelling
தீர்பளிப்பு	தீர்ப்பளிப்பு	spelling
சாச்சியம்	சாட்சியம்	spelling
வாக்குமூளம்	வாக்குமூலம்	spelling
பொருப்பாளர்	பொறுப்பாளர்	spelling
நடவெடிக்கை	நடவடிக்கை	spelling
பரிசீளனை	பரிசீலனை	spelling
நிருபிக்கப்பட்டது	நிரூபிக்கப்பட்டது	spelling
தமில்	தமிழ்	spelling
எலுத்து	எழுத்து	spelling
விலக்கம்	விளக்கம்	spelling
வால்த்து	வாழ்த்து	spelling
பலக்கம்	பழக்கம்	spelling
பலமை	பழமை	spelling
கலகம்	கழகம்	spelling
கலிவுநீர்	கழிவுநீர்	spelling
ஒலுங்கு	ஒழுங்கு	spelling
முலுமையாக	முழுமையாக	spelling
தொலில்	தொழில்	spelling
கேழ்வி	கேள்வி	spelling
வால்வாதாரம்	வாழ்வாதாரம்	spelling
வளிகாட்டுதல்	வழிகாட்டுதல்	spelling
அரிக்கை	அறிக்கை	spelling
முரையீடு	முறையீடு	spelling
மருப்பு	மறுப்பு	spelling
மருசீராய்வு	மறுசீராய்வு	spelling
நிருத்தப்பட்டது	நிறுத்தப்பட்டது	spelling
சுற்ரறிக்கை	சுற்றறிக்கை	spelling
மாற்ரம்	மாற்றம்	spelling
பர்றாக்குறை	பற்றாக்குறை	spelling
தொறர்பு	தொடர்பு	spelling
பறிந்துரை	பரிந்துரை	spelling
அணுமதி	அனுமதி	spelling
இனைப்பு	இணைப்பு	spelling
கங்காணிப்பு	கண்காணிப்பு	spelling
என்னிக்கை	எண்ணிக்கை	spelling
பினைப்பு	பிணைப்பு	spelling
துனைவர்	துணைவர்	spelling
அனுகுமுறை	அணுகுமுறை	spelling
கனிப்பு	கணிப்பு	spelling
தண்டணை	தண்டனை	spelling
காரனம்	காரணம்	spelling
நிர்னயம்	நிர்ணயம்	spelling
தீர்மாணிக்கப்பட்டது	தீர்மானிக்கப்பட்டது	spelling
நுனுக்கமான	நுணுக்கமான	spelling
அன்மையில்	அண்மையில்	spelling
அங்கிகாரம்	அங்கீகாரம்	spelling
ஒபுக்கொள்ள	ஒப்புக்கொள்ள	spelling
சடப்படி	சட்டப்படி	spelling
கடுப்பாடு	கட்டுப்பாடு	spelling
கடாயம்	கட்டாயம்	spelling
பத்ரம்	பத்திரம்	spelling
உறுதிபடுத்துதல்	உறுதிப்படுத்துதல்	spelling
வெளிபடுத்துதல்	வெளிப்படுத்துதல்	spelling
குறிபிடத்தக்க	குறிப்பிடத்தக்க	spelling
நிரகரிப்பு	நிராகரிப்பு	spelling
ஒதிவைக்கப்பட்டது	ஒத்திவைக்கப்பட்டது	spelling
கூடப்பட்டது	கூட்டப்பட்டது	spelling
செய்யபட்டது	செய்யப்பட்டது	spelling
கூறபட்டது	கூறப்பட்டது	spelling
தாக்கபட்டார்	தாக்கப்பட்டார்	spelling
கொடுக்கபட்டது	கொடுக்கப்பட்டது	spelling
பெறபட்டது	பெறப்பட்டது	spelling
கேட்கபட்டது	கேட்கப்பட்டது	spelling
பார்க்கபட்டது	பார்க்கப்பட்டது	spelling
அறியபட்டது	அறியப்பட்டது	spelling
அழைக்கபட்டார்	அழைக்கப்பட்டார்	spelling
அனுப்பபட்டது	அனுப்பப்பட்டது	spelling
விசாரிக்கபட்டது	விசாரிக்கப்பட்டது	spelling
பரிசீலிக்கபட்டது	பரிசீலிக்கப்பட்டது	spelling
நிரூபிக்கபட்டது	நிரூபிக்கப்பட்டது	spelling
நிராகரிக்கபட்டது	நிராகரிக்கப்பட்டது	spelling
ஏற்கபட்டது	ஏற்கப்பட்டது	spelling
குற்றஞ்சாட்டபட்டவர்	குற்றஞ்சாட்டப்பட்டவர்	spelling
உத்ரவின்	உத்தரவின்	spelling
அனையின்படி	ஆணையின்படி	spelling
குறுக்குவிசாரனை	குறுக்கு விசாரணை	spelling
மறுவிசாரனை	மறுவிசாரணை	spelling
பினையமனு	பிணை மனு	spelling
வழக்கரிஞர்	வழக்கறிஞர்	spelling
சட்டபூர்வமான	சட்டப்பூர்வமான	spelling
மனுதாக்கல்	மனுத் தாக்கல்	spelling
மேல்முரையீடு	மேல்முறையீடு	spelling
இடைகால நிவாரணம்	இடைக்கால நிவாரணம்	spelling
நிரந்தரதடை	நிரந்தரத் தடை	spelling
தற்காலிகதடை	தற்காலிகத் தடை	spelling
உரிமைகோறல்	உரிமைகோரல்	spelling
நஸ்டஈடு	இழப்பீடு	spelling
இழப்பீடுதொகை	இழப்பீட்டுத் தொகை	spelling
நிவாரணதொகை	நிவாரணத் தொகை	spelling
ஆசரானார்	ஆஜரானார்	spelling
ஆசராகவில்லை	ஆஜராகவில்லை	spelling
ஆசர்படுத்தப்பட்டார்	ஆஜர்படுத்தப்பட்டார்	spelling
விடுதளை	விடுதலை	spelling
விடுதளைசெய்யப்பட்டார்	விடுதலை செய்யப்பட்டார்	spelling
நிவாரணமனு	நிவாரண மனு	spelling
நிவாரணமனுவை	நிவாரண மனுவை	spelling
பராமரிப்புதொகை	பராமரிப்புத் தொகை	spelling
பராமரிப்புமனு	பராமரிப்பு மனு	spelling
வாரிசுச்சான்றிதழ்	வாரிசுச் சான்றிதழ்	spelling
சொத்துபிரிவு	சொத்துப் பிரிவு	spelling
சொத்துபங்கீடு	சொத்துப் பங்கீடு	spelling
ஆவணபதிவு	ஆவணப் பதிவு	spelling
நீதிமன்றதீர்ப்பு	நீதிமன்றத் தீர்ப்பு	spelling
நீதிமன்றகட்டணம்	நீதிமன்றக் கட்டணம்	spelling
வழக்குகட்டணம்	வழக்குக் கட்டணம்	spelling
மருத்துவசான்றிதழ்	மருத்துவச் சான்றிதழ்	spelling
பிறப்புசான்றிதழ்	பிறப்புச் சான்றிதழ்	spelling
இறப்புசான்றிதழ்	இறப்புச் சான்றிதழ்	spelling
திருமணசான்றிதழ்	திருமணச் சான்றிதழ்	spelling
வருமானசான்றிதழ்	வருமானச் சான்றிதழ்	spelling
இருப்பிடசான்றிதழ்	இருப்பிடச் சான்றிதழ்	spelling
அடையாளசான்றிதழ்	அடையாளச் சான்றிதழ்	spelling
உரிமைசான்றிதழ்	உரிமைச் சான்றிதழ்	spelling
சட்டநடவெடிக்கை	சட்ட நடவடிக்கை	spelling
குற்றநடவெடிக்கை	குற்ற நடவடிக்கை	spelling
நிர்வாகநடவெடிக்கை	நிர்வாக நடவடிக்கை	spelling
முதற்கட்டவிசாரனை	முதற்கட்ட விசாரணை	spelling
இறுதிகட்டவிசாரனை	இறுதிக்கட்ட விசாரணை	spelling
மனுதாரி	மனுதாரர்	spelling
சட்டபூர்வம்	சட்டப்பூர்வம்	spelling
